id;street_address;postal_code;city;state_province
1;since ladle venerated;diamond an drat;West Vallie;with gosh
2;gosh over modulo;accidentally until;Missouri City;ditch limb eek
3;ack aha considering;compact;Fort Maxie;ornate
4;randomise whereas who;viciously;Lake Ulices;help apropos back
5;barring whenever;airfield;Santinaboro;yahoo throughout
6;minor psst;phony;Auburn;nor geez
7;until;sniveling faithfully sink;Mableville;aw
8;means;fooey;West Maureen;billion brr outside
9;per intently;well-groomed;Menifee;mortally yippee
10;behind unless different;yuck whereas;North Port;unless
